,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Density Value (g / ml),Density Uncertainty (g / ml),Source
33,b6521ea920554f0790050aaaebed6cc8,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04250040537994594,,[Cl-].[Na+],Solvent,0.049095578028431966,,O,Solvent,0.9084040165916221,,0.973,0.005,,,10.1016/j.jct.2013.08.018
34,e7d83e9826d548158cc903acdc4eb9bc,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04874297468596962,,[Cl-].[Na+],Solvent,0.048775491680423236,,O,Solvent,0.9024815336336072,,0.974,0.005,,,10.1016/j.jct.2013.08.018
35,36504db66e8d417094240caa9ff34414,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.0089272483610882,,O,Solvent,0.9910727516389117,,,,,,0.905,0.0055,,,10.1016/j.jct.2013.08.018
36,3a227316d8c24080aa206e8c72e599ee,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.004443788777503604,,[Cl-].[K+],Solvent,0.008887577555007208,,O,Solvent,0.9866686336674892,,0.909,0.0055,,,10.1016/j.jct.2013.08.018
37,f311fc73751d4022a1c376bab3a37121,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.007091155086769293,,[Cl-].[K+],Solvent,0.008863943858461615,,O,Solvent,0.9840449010547692,,0.916,0.005,,,10.1016/j.jct.2013.08.018
38,c9ec5272c77e44a5a9d302ea7d768fd2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010948589404495654,,[Cl-].[K+],Solvent,0.008829507584270688,,O,Solvent,0.9802219030112337,,0.917,0.005,,,10.1016/j.jct.2013.08.018
39,1ccbffc239b8415a96c73f1e4ff0e9b3,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.011123215305902967,,[Cl-].[K+],Solvent,0.008827948655478545,,O,Solvent,0.9800488360386185,,0.911,0.005,,,10.1016/j.jct.2013.08.018
40,27f02c10ee134e6c8707fae07f05b739,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.011123215305902967,,[Cl-].[K+],Solvent,0.008827948655478545,,O,Solvent,0.9800488360386185,,0.914,0.005,,,10.1016/j.jct.2013.08.018
41,d5a069456bf14cb593bbe08177668348,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.014082449341258152,,[Cl-].[K+],Solvent,0.008801530838286345,,O,Solvent,0.9771160198204556,,0.915,0.005,,,10.1016/j.jct.2013.08.018
42,49dbf69732f64ecd8b5d0879eddd4ef3,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02097597744203183,,[Cl-].[K+],Solvent,0.008739990600846598,,O,Solvent,0.9702840319571214,,0.89,0.0055,,,10.1016/j.jct.2013.08.018
43,cd75e9c0907540f0afa3b76cc7a38762,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.031137397489377373,,[Cl-].[K+],Solvent,0.008649277080382604,,O,Solvent,0.9602133254302401,,0.885,0.0055,,,10.1016/j.jct.2013.08.018
44,73a36cdb4d8c494e97c2b2ca7442b953,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,0.915,0.005,,,10.1016/j.jct.2013.08.018
45,ef0fa10a75694abcb00bffc7c1c20130,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.00458002093154642,,[Cl-].[K+],Solvent,0.017615465121332382,,O,Solvent,0.9778045139471212,,0.902,0.0055,,,10.1016/j.jct.2013.08.018
46,324f62fdcee04b838f82ac7a757b2b54,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.008770652769955678,,[Cl-].[K+],Solvent,0.017541305539911355,,O,Solvent,0.973688041690133,,0.896,0.0055,,,10.1016/j.jct.2013.08.018
47,71f59c780c9a4c5e831e6ce4d86a9b92,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01395958363540153,,[Cl-].[K+],Solvent,0.01744947954425191,,O,Solvent,0.9685909368203466,,0.906,0.0055,,,10.1016/j.jct.2013.08.018
48,6f51277e358c474f98026d7d8a2d062d,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,0.895,0.0055,,,10.1016/j.jct.2013.08.018
49,5f9efc32e01d4403a1668ba19c366536,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0035092483987541356,,[Cl-].[K+],Solvent,0.017634414064091133,,O,Solvent,0.9788563375371546,,0.9,0.0055,,,10.1016/j.jct.2013.08.018
50,6253cd37660d4148bb8a2bc76c65b43d,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0070114028154886696,,[Cl-].[K+],Solvent,0.017572438134056814,,O,Solvent,0.9754161590504544,,0.896,0.0055,,,10.1016/j.jct.2013.08.018
51,73cdb87dda9945bfbf69a6aab90d506b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01048902688708807,,[Cl-].[K+],Solvent,0.01751089630565621,,O,Solvent,0.9720000768072558,,0.893,0.0055,,,10.1016/j.jct.2013.08.018
52,3a306834397345a3864f499d913758b4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.014114412348953737,,[Cl-].[K+],Solvent,0.017446739615517598,,O,Solvent,0.9684388480355287,,0.895,0.0055,,,10.1016/j.jct.2013.08.018
53,f0ce82b259524c7bb1299a3f277f40f9,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01744005106059545,,[Cl-].[K+],Solvent,0.01738788739840025,,O,Solvent,0.9651720615410043,,0.898,0.0055,,,10.1016/j.jct.2013.08.018
54,b13eff43f9fb4093a037cbdb1da9cf40,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.020912998984083494,,[Cl-].[K+],Solvent,0.017326428321527334,,O,Solvent,0.9617605726943892,,0.895,0.0055,,,10.1016/j.jct.2013.08.018
