Id,Temperature (K),Pressure (kPa),N Components,Component 1,IUPAC1,Role 1,Mole Fraction 1,Component 2,IUPAC2,Role 2,Mole Fraction 2,Component 3,IUPAC3,Role 3,Mole Fraction 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
73cdb87dda9945bfbf69a6aab90d506b,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.010489026887088,[Cl-].[K+],potassium;chloride,Solvent,0.0175108963056562,O,oxidane,Solvent,0.9720000768072558,0.893,0.0055,10.1016/j.jct.2013.08.018
3a306834397345a3864f499d913758b4,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0141144123489537,[Cl-].[K+],potassium;chloride,Solvent,0.0174467396155175,O,oxidane,Solvent,0.9684388480355288,0.895,0.0055,10.1016/j.jct.2013.08.018
f0ce82b259524c7bb1299a3f277f40f9,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0174400510605954,[Cl-].[K+],potassium;chloride,Solvent,0.0173878873984002,O,oxidane,Solvent,0.9651720615410044,0.898,0.0055,10.1016/j.jct.2013.08.018
b13eff43f9fb4093a037cbdb1da9cf40,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0209129989840834,[Cl-].[K+],potassium;chloride,Solvent,0.0173264283215273,O,oxidane,Solvent,0.9617605726943892,0.895,0.0055,10.1016/j.jct.2013.08.018
2a5844fd59494fb59f4554a0bdce71db,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0240244702750029,[Cl-].[K+],potassium;chloride,Solvent,0.0172713661214974,O,oxidane,Solvent,0.9587041636034996,0.893,0.0055,10.1016/j.jct.2013.08.018
3766a253f01a43279db3e0753e1189b4,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0276686577359947,[Cl-].[K+],potassium;chloride,Solvent,0.0172068767014892,O,oxidane,Solvent,0.955124465562516,0.892,0.0055,10.1016/j.jct.2013.08.018
96515bede63b4bb598e8dc938cac7ab4,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0309867224418155,[Cl-].[K+],potassium;chloride,Solvent,0.0171481585178835,O,oxidane,Solvent,0.9518651190403008,0.889,0.0055,10.1016/j.jct.2013.08.018
192fc483ec5b47b392370ec4d5be4f62,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0342161981189045,[Cl-].[K+],potassium;chloride,Solvent,0.0170910080514008,O,oxidane,Solvent,0.9486927938296946,0.885,0.0055,10.1016/j.jct.2013.08.018
9fa1854701924b9bb5bb95910f2ddfc3,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0371453938559213,[Cl-].[K+],potassium;chloride,Solvent,0.0170391714935418,O,oxidane,Solvent,0.9458154346505367,0.902,0.0055,10.1016/j.jct.2013.08.018
238c1e14a50645d188f718964e3df31d,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0440194013836654,[Cl-].[K+],potassium;chloride,Solvent,0.0169175255125539,O,oxidane,Solvent,0.9390630731037808,0.892,0.0055,10.1016/j.jct.2013.08.018
