,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),Source
48,8e860d066f05405888d79e39c207be86,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0279800000000003,0.0018800000000000004,10.1016/j.jct.2016.07.003
49,2b9a670214d64b07b8450c84ec325ac1,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0299900000000002,0.0018850000000000004,10.1016/j.jct.2016.07.003
50,ed5266f2b93947098173950fa600eaa9,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0319000000000003,0.0018850000000000004,10.1016/j.jct.2016.07.003
51,31367269b57843da94a62cbd6ef12b9e,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.03387,0.0018900000000000004,10.1016/j.jct.2016.07.003
52,3ed7c6c5a7b94bbcad37c029d6a38746,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0357200000000002,0.0018900000000000004,10.1016/j.jct.2016.07.003
53,260538f1eed547c58719c8b54f48f0ad,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0130800000000002,0.0018650000000000003,10.1016/j.jct.2016.07.003
54,53d15803ce5f4b6da40f84f1a403c4ff,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0155900000000002,0.0018700000000000006,10.1016/j.jct.2016.07.003
55,dc568c88fe9b4302ad081188cf0a37e5,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.01781,0.0018700000000000006,10.1016/j.jct.2016.07.003
56,e7be69a258334c08969eb37de4057665,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0199700000000003,0.0018750000000000004,10.1016/j.jct.2016.07.003
57,de597085e3164f68afa93ef31120f62e,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0221100000000003,0.0018750000000000004,10.1016/j.jct.2016.07.003
58,0e1116d15c0846d9aafe72d7728c85e4,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.02408,0.0018800000000000004,10.1016/j.jct.2016.07.003
59,0a3f7303e69f4a99b0c661e87763d763,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0261400000000003,0.0018800000000000004,10.1016/j.jct.2016.07.003
60,c241e8bd86624fa88755353f3544b74e,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0281300000000004,0.0018850000000000004,10.1016/j.jct.2016.07.003
61,d1588a592ac949568f0eb4e44950c89a,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0299900000000002,0.0018850000000000004,10.1016/j.jct.2016.07.003
62,5b0b33f1373a4b03a1e6018a35826be4,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0319400000000003,0.0018900000000000004,10.1016/j.jct.2016.07.003
63,7b8873041dbe482986e129f928825d58,308.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0337400000000003,0.0018900000000000004,10.1016/j.jct.2016.07.003
64,a086ead462924612a158c4dd244ee38b,313.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0112500000000002,0.0018650000000000003,10.1016/j.jct.2016.07.003
65,07a1374a062849f5ab8f8ac290ad3ef4,313.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0137300000000002,0.0018700000000000006,10.1016/j.jct.2016.07.003
66,d2675c5d0d3a4acb91efe7d4b47857d2,313.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0159200000000002,0.0018700000000000006,10.1016/j.jct.2016.07.003
67,343ece40f70b48658208cbfc38f888f1,313.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0180500000000001,0.0018750000000000004,10.1016/j.jct.2016.07.003
68,031ab29bca0a406d9104c6fbe0d837c0,313.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0201500000000001,0.0018750000000000004,10.1016/j.jct.2016.07.003
