Mixture,Count
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
CCCCCC(=O)CC | CCCCCCCCCCCCCC,53
CCn1cc[n+](C)c1.F[B-](F)(F)F | OC1=NCCC1 | O,32
CCOC(=O)OCC | CCCCCO,16
C1CCCCC1 | C1CCNCC1,9
CN(CCO)CCO | c1ccncc1,315
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CCCO,39
OCCN1CCOCC1 | O,36
CCCCCCCCCC | CCCCOC=O,29
CC(C)OC(C)C | CCO,19
c1cc[nH]c1 | CCCO,34
CCCC(C)C | COC(C)(C)C,19
CCCCO | CCC(C)=O,11
CCC[N+](=O)[O-] | CCCCCCCCCCCC,7
OCCOCCOCCO | CCO,17
Clc1ccccc1Cl | c1ccccc1 | CCCCCCCl,57
C1CCNCC1 | C1COCCN1,9
COC=O | BrCCCBr,14
CCCO | c1ccccc1,38
ClC(Cl)(Cl)Cl | CCCCCCC,10
CCc1ccccc1 | ClCc1ccccc1,12
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCCC,19
CS(C)=O | CCCCCCO,17
CCOC(=O)CC(C)=O | CO,39
CCCCCCCCCCCC | CCCCC(=O)OCC,17
BrCBr | c1ccoc1,8
CCCCCCO | c1ccccc1,38
O=Cc1ccccc1 | CCCCO,12
C=CCCCCCC | CCCCO,9
CCCCCC(C)=O | CCN(CC)CC,9
CCCCO | CCN(CC)CC,20
CCCCCOCCCCC | CCCCCCCCCCCC,59
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | c1ccccc1,14
CS(C)=O | Clc1ccccc1,17
C1CCOCC1 | c1ccccc1,14
CCC(C)=O | CCN(CC)CC,9
C1CCOCC1 | C1CCNCC1,9
CCCO | CCCCCCCCC,15
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CC(C)=O,12
CN(C)C=O | CCCCN,20
CCCCCC(C)=O | Nc1ccccc1,14
CCO | C1CCCCC1,20
C1CCOCC1 | CCCCCCCCCO,9
CCCCCCC(C)=O | CCCCCCCCCCCC,58
CN1CCCC1=O | ClC(Cl)C(Cl)Cl,23
Cc1ccncc1 | O,12
CC(=O)CC(C)=O | CCOC(C)=O,42
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | C[N+](=O)[O-],9
CCO | c1ccncc1 | Cl.N,20
CCCCCCC,18
CCCCCC(C)=O | CCCCNCCCC,9
CC(=O)c1ccccc1 | CCCCCO,65
CN1CCCC1=O | ClC=C(Cl)Cl,14
CCOCCOCCOCC | OCc1ccccc1,17
CC(=O)O | CC(=O)OCCO,9
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCO,32
CCC#N | c1ccccc1,20
OCc1ccccc1 | CCCCCCO,9
CCCCC(C)=O | O,36
CCOC(=O)C(=O)OCC | CCO,76
CC(C)(C)O | CCOC=O,35
CCCCCC | Cc1ccccc1,16
NCCCN1CCOCC1 | O,36
COC(=O)OC | CCCCCCCCCC,19
CCCCCC(=O)O | CN(C)C=O,62
COc1ccccc1 | OCCCc1ccccc1,17
O | CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,8
CC(=O)CC(C)C | CCCCCO,11
CCCOC(C)=O | C=CCCCC,13
CCN(CC)CCN | C1CCCCC1,6
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CCCCO,34
COC(=O)OC | CCc1ccccc1,19
C1COCCN1 | O,36
c1cc[nH]c1 | CCCCO,41
BrCBr | c1ccncc1,11
CCOc1ccccc1 | OCCc1ccccc1,17
CC(C)(C)O | CCCOC=O,34
CCCCOCCCC | CC(C)CC(C)(C)C | CCCCO,36
BrCCCCCCBr | CCOC=O,15
CCCCCCCCCO | C1CCCCC1,9
OCCOCCO | OCc1ccccc1,17
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | O,24
COC(C)(C)C,3
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCO,33
CC#N | CCCCCCO,77
CCCCCCCCCC(=O)OC | CCCCCCCCCC,19
C1CCOCC1 | Cc1ccccc1N,14
CC(C)=O | CCCNCCC,9
C1CCOCC1 | O=C1CCCC1,17
CCCOC(=O)CC | CCCCCCO,18
CCCCO | CCCCCCCCN(CCCCCCCC)CCCCCCCC,16
C1COCCO1 | CCCCCCCC | C1CCCCC1,97
CCCCOC(C)=O | Cc1ccccc1,11
CCCCO | C=CCCCC,38
CC(C)(C)O | CCCCOC(C)=O,33
CC(=O)OCCO | OCCO,9
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
CCCCCCCCCC | CCCO,17
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1 | CCCCCCC,1
CCCCCCCC | Cc1cncc(C)c1,11
CS(C)=O | OCCc1ccccc1,17
CO | CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
CCCOC=O | ClCCCCl,15
ClCCCCl | CCCOC(C)=O,13
CN(C)C=O | CCCCCCCl,23
CCCCO | CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,40
ClCCCCCCl | CCCOC(C)=O,13
CCOc1ccccc1 | OCc1ccccc1,17
CC(=O)CC(C)=O | CCCCCO,42
COC(C)=O | CCCC(=O)OC | CCCCCCCC,53
CCCOCCC | C=CCCCC,20
BrCCCCCCBr | CCCCOC(C)=O,15
COc1ccccc1 | OCc1ccccc1,17
CCCOC(C)=O | C1CCCCC1,12
CCc1ccccc1 | Clc1ccccc1,12
COC(=O)OC | CCCCCCC,19
OCCO | CCO,17
CCOC(=O)CC(=O)OCC | CC(C)CO,114
CCCCCCC | CCCCOC(=O)CC,18
CCCO | C1CCCCC1,37
OC1=NCCC1 | c1ccncc1,18
CO,1
COC(C)(C)C | CCC(C)CC,19
ClCCCCl | CCCOC(=O)CC,12
COC(C)=O | CCCCC(=O)OC,14
OCC(F)(F)F | CO,25
O | COP(=O)([O-])OC.Cn1cc[n+](C)c1,5
CCCOC(C)=O | CCCCCCCCCCC,18
COP(=O)(OC)OC | CCCCO,15
C1CCOC1 | CCCCCC,19
CCCCCC(C)=O | CCCNCCC,9
CO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
Cc1ccccc1 | ClCc1ccccc1,12
CCC(C)=O | CCCNCCC,10
BrCCCCBr | CCCCOC(=O)CC,12
CN1CCCC1=O | c1ccccc1,14
ClC(Cl)(Cl)Cl | CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,30
COC(C)(C)C | CCO | CCCCCCCCCC,33
CCCCCOCCCCC | CCCCCCCCCCCCCC,59
CCOC(C)=O | CCCCCCCCC,37
CCCCO | C1CCCCC1,19
CCCCOC=O | ClCCCCCCl,32
COC(=O)OC | CC(C)O,18
CCCO | C=CCCCC,38
CCCCCCCC | CCCO,20
CC(=O)c1ccccc1 | CCCCCCC,65
CCC(=O)OC | CCCCCCCCCCC,19
COc1ccccc1 | OCCc1ccccc1,17
CN(C)CCN(C)CCN(C)C | O,18
CCCC(=O)OCC | ClCCCCCl,16
CCCCCCO | CCCCCCC(C)=O,68
CN(C)CCO | CC(C)O,36
COCOC | c1ccccc1,13
OCCOCCOCCOCCO | CCO,17
CCCCOCCCC | CCCCCCCCO,22
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CO,36
CCOc1ccccc1 | OCCCc1ccccc1,17
CCCO | CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,32
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2 | CCCCCO,44
C1COCCN1 | C1COCCO1 | C1CCCCC1,22
CCN(CC)CCCN | CCCCCCC,11
C1CCCC1 | CCCCCCCCO,10
C1CCOCC1 | Cc1ccc(C)cc1,14
CCCC(C)C | CN(C)C=O,13
CN(C)C=O | CCCCCCCCCl,23
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,18
CCCCCCCCC | CCCOC(=O)CC,16
BrCCCCCCBr | CCOC(C)=O,17
Cc1cccc(C)n1 | O,12
BrCBr | C1CCOC1,10
c1ccccc1,12
CCCCCCCCCl | CC(=O)N(C)C,23
CCOC(C)(C)CC | CC#N,9
Cc1ccccc1N | Cc1ccncc1,18
CC(C)(C)O | CCCOC(=O)CCC,36
BrCCCCCBr | CCCCOC(=O)CC,13
CCCCCOC=O | ClCCCCl,14
CCCCO | CC(C)CC(C)(C)C,32
C1CCOCC1 | Cc1ccccn1,18
CCC(=O)OC | CCCCCCCCCCCCCCCCC,19
Cc1ccccc1Cl | C1COCO1,18
CN(C)C=O | CCCCCl,23
CCCCCCCCCC(=O)OC | CCCCCCCCCCCC,19
COC(=O)CC(C)=O | CC(C)O,52
Cc1cccc(C)n1 | Cc1ccccc1,13
O | CCO,31
CCc1ccccc1 | ClCCCc1ccccc1,14
CCCCCCCO | C1CCCCC1,10
C1CCOC1 | CCC(C)(C)C,20
CCCOCCC | C1CCOC1,20
CCCCOCCCC | CCCCCCO,20
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CCO,38
CCCCCCCCCCCCCCCCC | CCCCOC(=O)CC,18
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F | CCO,32
CCn1cc[n+](C)c1.F[B-](F)(F)F | CN1CCCC1=O | c1ccncc1,32
C1CCOCC1 | Nc1ccccc1,14
CCOC(C)(C)CC | CCC#N,9
COC(=O)OC | CCCCCCCCC,17
C1CCOCC1 | CNc1ccccc1,14
CCO | CCCCCCCCCC,15
CCCCCOC(C)=O | CCCCCCC,18
CCCCO | CC1CCCCC1,38
ClCCCCCCCl | CCCOC(C)=O,15
C1COCCO1 | O=C1CCCCC1,34
O | CCCOC(C)=O,51
CCO | CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,45
CC(C)(C)O | CCC(=O)OC,33
CCCC(C)=O | Nc1ccccc1,11
CCCC(C)=O | CNc1ccccc1,9
O=C1CCCCCC1 | CCCCCCCCC,14
CCCCCCC | CCCCCOC(=O)CC,16
CCCCCCC(C)=O | CCCCCCCCCCCCCC,60
CCCC(C)=O | CCCCNCCCC,9
CS(C)=O | CCCCO,17
ClCCCCCCl | CCCOC(=O)CC,13
CC(C)(C)O | CCOC(C)=O,34
COC(=O)OC | CCO,19
CCCCOC(C)=O | C1CCCCC1,11
C1COCCN1 | C1CCCCC1,9
COC(=O)CC(C)=O | CO,52
CS(C)=O | C1CCOC1,17
C1COCO1 | CCCCCC(C)=O,17
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,34
CCCCCO | Cc1ccccc1,38
O=[N+]([O-])c1ccccc1 | CCCCCCCC,5
CC(C)=O | CCCO,21
C1CCOC1 | CC(C)C(C)C,20
CCCCC(=O)OC | BrCCBr,13
CS(C)=O | C1COCCO1,17
CN(C)C=O | CCCCCCN,19
COC(C)=O | BrCCBr,17
OCCN(CCO)CCO | O,22
C1COCCO1 | c1ccccc1 | Cc1ccccc1N,30
