Mixture,Count
CCCCOCCCC | CCC(C)(C)C,20
C1CCCCC1 | C1CCOCC1,18
OCC(F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,24
CCCCCCCCCCCCCCCCC | CCOC(=O)CC,16
Cc1cnccn1 | C1CCCCC1,9
CCOCCO | c1ccccc1,36
CCCCCOC(C)=O | CCCCCCCCC,16
CC(C)OC(C)C | Cc1cccc(C)c1,11
C1CCCCC1 | Cc1ccccc1,38
BrCCBr | CCOC=O,18
COCOC | CCCCCC,13
CC(=O)CC(C)C | CCCCO,10
CN1CCCC1=O | CC(Cl)(Cl)Cl,20
COC(C)=O | CCCCCCCCCC,38
COC(C)=O | CCCCCCCC,16
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCO,8
CCOC(=O)OCC | CCCCCCCCO,15
CCC(=O)OC | BrCCCBr,19
CCOC(=O)C(=O)OCC | CCO,76
C=CCCCC | CCCCCCCCCCCCCC,19
ClCCCl | CCCOC=O,12
CCCCOC=O | BrCCCCCCBr,12
CC(C)OC(C)C | CCO,19
CCCCCCCCCCCCCCC | CCCOC(=O)CC,16
CCC(=O)OC | CCCCCCCCCCCCC,18
COC(C)=O | CCCCCO,55
COC(C)=O | CCCCO,56
CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N | O,24
CC(C)O,1
CCCOC(=O)CC | CCCCCCO,18
C1CCOCC1 | Cc1ccccn1,18
CO | BrCBr,10
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCO,33
COC(=O)OC | CCCCCCCCC,17
C1CCOC1 | CCCCCC,19
C1CCNCC1 | C1COCCO1,9
[Br-].[Br-].[Br-].[Pr+3] | [Br-].[Rb+],25
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | Cc1ccccc1,14
Cc1ccccc1N | C1CCCCC1,14
CCCCC(=O)OCC | BrCCCCCCBr,16
CCCCCCCCCCCCCCCCC | CCCCOC(=O)CC,18
O=[N+]([O-])c1ccccc1 | CCCCCCCCCCCC,6
CCOC=O | CCCCCC,28
CCn1cc[n+](C)c1.N#C[N-]C#N | O,24
CCCCc1ccccc1 | ClCCCc1ccccc1,12
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | C=CCCCCCC,13
CCCCCCCCCC(=O)OC | CCCCCCCCCCCC,19
C1CCOCC1 | O=C1CCCCC1,35
CCOC(=O)CC(=O)OCC | CC(C)CO,114
CCCC(C)=O | CCCNCCC,9
BrCCCCCCBr | CCOC=O,15
c1ccncc1 | Cl.N | O,18
c1ccccc1 | CCCCCCCl,29
