Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
6822,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2425,,c1ccccc1,Solvent,0.7575,,-0.1608,,10.1016/j.jct.2010.07.016
6823,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4982,,c1ccccc1,Solvent,0.5018,,-0.2365,,10.1016/j.jct.2010.07.016
6824,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7832,,c1ccccc1,Solvent,0.2168,,-0.1399,,10.1016/j.jct.2010.07.016
6828,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2806,,Cc1ccccc1,Solvent,0.7194,,-0.1687,,10.1016/j.jct.2010.07.016
6829,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5319,,Cc1ccccc1,Solvent,0.4681,,-0.2225,,10.1016/j.jct.2010.07.016
6830,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7413,,Cc1ccccc1,Solvent,0.2587,,-0.1629,,10.1016/j.jct.2010.07.016
6834,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2454,,Cc1ccccc1C,Solvent,0.7546,,-0.0613,,10.1016/j.jct.2010.07.016
6835,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4425,,Cc1ccccc1C,Solvent,0.5575,,-0.0342,,10.1016/j.jct.2010.07.016
6836,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7443,,Cc1ccccc1C,Solvent,0.2557,,0.0421,,10.1016/j.jct.2010.07.016
6840,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.2003,,CCCO,Solvent,0.7997,,0.308,,10.1021/je5004912
6841,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.6999,,CCCO,Solvent,0.3001,,0.6544,,10.1016/j.fluid.2012.06.031
6842,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.4998,,CCCO,Solvent,0.5002,,0.6025,,10.1016/j.fluid.2012.06.031
6846,298.15,101.0,Liquid,2,O,Solvent,0.6998,,OCCN1CCOCC1,Solvent,0.3002,,-2.426,,10.1016/j.jct.2015.06.006
6847,298.15,101.0,Liquid,2,O,Solvent,0.5011,,OCCN1CCOCC1,Solvent,0.4989,,-2.2633,,10.1016/j.jct.2015.06.006
6848,298.15,101.0,Liquid,2,O,Solvent,0.3051,,OCCN1CCOCC1,Solvent,0.6949,,-1.7936,,10.1016/j.jct.2015.06.006
6852,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.2665,,OCc1ccccc1,Solvent,0.7335,,-0.4216,,10.1021/je0342062
6853,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.5216,,OCc1ccccc1,Solvent,0.4784,,-0.4574,,10.1021/je0342062
6854,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.7658,,OCc1ccccc1,Solvent,0.2342,,-0.3712,,10.1021/je0342062
6858,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.2982,,CCCC(=O)OC,Solvent,0.7018,,0.884,,10.1021/acs.jced.5b00813
6859,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.4407,,CCCC(=O)OC,Solvent,0.5593,,1.053,,10.1021/acs.jced.5b00813
6860,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7629,,CCCC(=O)OC,Solvent,0.2371,,0.789,,10.1021/acs.jced.5b00813
6864,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.256,,COC(C)=O,Solvent,0.744,,1.385,,10.1021/acs.jced.5b00813
6865,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.5406,,COC(C)=O,Solvent,0.4594,,1.759,,10.1021/acs.jced.5b00813
6866,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7833,,COC(C)=O,Solvent,0.2167,,1.149,,10.1021/acs.jced.5b00813
