Mixture,Count
BrCCCCBr | CCCCOC(=O)CC,15
CN(CCO)CCO,6
CCOC(C)=O | CCCCCCCCC,66
CCCCOC=O | ClCCCCCCl,30
COc1ccccc1 | OCCc1ccccc1,12
CCCC(=O)OCC | ClCCCCCl,14
COCCOCCOC,2
CCOC(=O)CC | ClCCCl,16
CCOc1ccccc1 | OCCCc1ccccc1,12
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,72
CCCCOC(=O)CCC | ClCCCCCl,13
BrCCCCCCBr | CCOC(C)=O,12
ClCCCCCCCl,3
Cc1cccc(C)n1 | O,12
c1ccccc1,9
Nc1ccccc1,3
CCOC(C)(C)CC | CC#N,9
Cc1ccccc1N | Cc1ccncc1,54
BrCCCCCBr | CCCCOC(=O)CC,16
CCCCCOC=O | ClCCCCl,14
CCCCO | CC(C)CC(C)(C)C,13
CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,18
C1CCOCC1 | Cc1ccccn1,54
OCCc1ccccc1,2
Cc1cccc(C)n1,1
Cc1ccccc1Cl | C1COCO1,54
C1CCOC1,7
CCCCCCCCCC(=O)OC | CCCCCCCCCCCC,19
BrCCCBr,1
ClCCCl,5
CCOC(C)(C)CC | CCC#N,9
COC(=O)OC | CCCCCCCCC,73
C1CCOC1 | CCCCCCO,9
O | CCCOC(C)=O,53
ClCCCCCCCl | CCCOC(C)=O,12
C1COCCO1 | O=C1CCCCC1,72
CCCCCCCCO,9
ClCCCCCCl | CCCOC(=O)CC,13
C1COCO1 | CCCCCC(C)=O,23
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,60
CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
CCCCC(=O)OC | BrCCBr,15
CCOC(=O)CC | ClCCCCCCl,15
COC(C)=O | BrCCBr,15
CC(=O)CC(C)C,7
O=[N+]([O-])c1ccccc1,1
CCCC#N,1
COC=O | ClCCCCl,16
CCCCC#N,1
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6
CCCCOC=O | CCCCCCCCC,76
CCCCCC(=O)OC(=O)CCCCC,1
CCCCOC(=O)CCC | ClCCCCCCl,11
BrCCBr | CCCCOC(=O)CCC,13
CC(C)CO,6
CCOC=O | ClCCCCl,32
CCOC(=O)OCC | CCCO,50
Cc1cccnc1,12
C1CCOCC1 | Cc1cccnc1,54
CCCOC(C)=O | CCCCCCCCCC,64
CCCCCCCCCCCC | CCOC(C)=O,14
CCCOC(=O)CC | CCCCCC | Cc1ccccc1,50
CCCCCOCCC,8
CCCCOC(=O)CC | ClCCCCCl,15
CC(=O)CC(C)=O,6
NCCO,6
CN(C)C=O,17
CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],13
CCCCN,1
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | O,29
CCCCCCCCCCCCCC,7
C1CCOCC1 | c1ccncc1,54
CCCC(=O)OCC | ClCCCCCCl,15
CCOC(C)=O | ClCCCCCCCl,16
CCCCOC(=O)CC | ClCCCCCCCl,14
CCCCCO,38
BrCCCCBr | CCOC(=O)CC,12
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,2
CCOC(=O)c1ccccc1,2
C1CCOCC1 | CCCCCO,11
CCCOC(C)=O | CCCCCCC,65
CCCCOC=O | BrCCCCCBr,14
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCO,84
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,9
COC=O | CCCCCCCCCC,30
CCCCC(=O)OC | CCCCCCCC,19
CCCOC=O | CCCCCCCCC,76
C1COCCO1 | O=C1CCCC1,15
CCCCO,30
CCn1cc[n+](C)c1.CS(=O)(=O)[O-],7
CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,9
O | CCCC(=O)OC,44
BrCCCBr | CCCCOC(=O)CC,14
BrCCCCCBr | CCOC(=O)CC,12
CCC#N,4
CCCCCOCCCCC,1
C1CCOCC1 | CCCCCCCCCCO,9
CCOC(C)=O | ClCCCl,16
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCC,19
CCCOCCC,2
O=C1CCCCC1,6
CCCCOC(=O)CC | ClCCCl,16
CCn1cc[n+](C)c1.N#C[S-] | O,96
CCC(=O)OC | BrCCCCBr,15
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCOCCO,29
CC(=O)C(C)C | O,47
ClC(Cl)Cl,7
CCn1cc[n+](C)c1.N#C[S-],21
ClCCCCCl | CCCOC(C)=O,13
CCn1cc[n+](C)c1.N#C[N-]C#N,14
CC(=O)C(C)C,4
BrCCCCCCBr,1
COP(=O)([O-])OC.Cn1cc[n+](C)c1,24
CCCO,46
CCCOC(=O)CC | Cc1ccccc1,17
Cn1ccnc1 | CO,65
CCOC(=O)C(C)C | CCCO,22
ClCCCCCl | CCCOC(=O)CC,15
CCCCC(=O)OCC | ClCCCl,16
COC(C)=O | CCCCC(=O)OC | CCCCCCCC,68
CCC(=O)OC | BrCCCBr,14
OC1=NCCC1,6
CCCCC(=O)OCC | ClCCCCCl,16
CCCC(=O)OC | BrCCCCCBr,13
CCCCC(=O)OCC | BrCCBr,12
CCCCC | CCCCOC=O,25
C1CCOC1 | CCCCO,11
Cc1ccccc1N | Cc1ccccn1,54
CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,120
C[C@@H](NCc1ccccc1)c1ccccc1,1
CCCCCCCCCCCC,9
CCCCOC=O | BrCCBr,15
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CN(C)C=O,90
CC/C=C\CCO,5
CCCCCOC(=O)CC,1
c1ccsc1,1
CCC(=O)OC,4
O | CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,84
CC(C)CC(C)(C)C,8
COC=O | CO,16
COC(C)=O | CCCCCCCC,22
Cn1ccnc1 | CCO,55
CCCCOC(=O)CCC | ClCCCCCCCl,14
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1ccccn1,72
CCOC(C)=O | ClCCCCCl,15
Cc1ccccc1N | Cc1cccnc1,54
C1COCO1 | O=C1CCCC1,17
CCOC(=O)CC(C)=O,7
CCOCCOCCO,1
CC(C)(C)O,6
CCCCCO | CC(C)CC(C)(C)C,13
CCCCCC(=O)O,1
CS(C)=O | OCc1ccccc1,12
C1CCCCC1,42
CCCCOC=O | ClCCCl,30
CCCOC=O | ClCCCCCl,16
BrCCBr | CCOC=O,15
CCCCC(=O)OC | BrCCCCCBr,14
CCOC=O | CCCCCCC,76
COC(C)=O | BrCCCCCBr,14
CCCC(=O)OCC | ClCCCCCCCl,16
BrCCCCBr | CCCCOC(C)=O,13
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCO,66
CCCC(=O)OCC | BrCCCCCBr,13
CCCCCCO,7
CCCCCCCCC,46
CCCC(C)=O | O,41
COC(C)(C)CC(C)(C)C,8
COCCOC,3
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4
CCCOCCC(C)C,8
C1CCOCC1,35
CCCCCCCCCCCC | CCOC(C)=O | CCCCC(=O)OCC,42
CCCOC=O | ClCCCCCCCl,15
Cc1cccc(C)c1,3
CC(Cl)(Cl)Cl,2
CCCCCCCCCl,2
CCOC(C)=O | CCCCC(=O)OCC,16
CCCC(C)=O,7
ClCCc1ccccc1,1
CCCCc1ccccc1,1
OCCOCCOCCOCCO,4
CCC(C)CC,3
CCCOC(C)=O | CCCCC,32
OCC(F)(F)F | O,17
CS(C)=O | OCCCc1ccccc1,12
CCOCCOCCOCCO,1
CCOC(C)(C)C | CC#N,9
C1CCOCC1 | CCCCCCO,11
C1CCOCC1 | O=C1CCCCC1,72
CN1CCCC1=O,10
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCOCCO,17
OCC(F)(F)F,33
CCCC[N+]1(C)CCCCC1.N#C[N-]C#N | O,80
BrCCCBr | CCOC(=O)CC,11
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | C[N+](=O)[O-],114
CCCCOC(=O)CC | ClCCCCCCl,14
Cc1ccc(C)cc1,3
COC(=O)[C@H](C)CO,1
CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,20
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCCCO,7
CCOC(C)(C)C | CCC#N,9
BrCCCCCCBr | CCCCOC(=O)CC,14
COC=O | ClCCCCCCCl,16
CCCCOC=O | BrCCCCCCBr,13
