Mixture,Count
BrCCCCCBr | CCOC=O,10
C[C@H](O)c1ccccc1,1
CCOC(C)(C)C | CC#N,9
O=CO,1
CCCC(=O)OCC | BrCCCCCCBr,12
CCOC(=O)CC | ClCCCCCCl,15
OCC(F)(F)F | CCCO,17
CCC(=O)CC | O,48
CCCCC(C)=O,4
CCCOC(C)=O | CCCCCCCCCC,64
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCO,90
OC1=NCCC1,6
C1CCOCC1 | O=C1CCCCCC1,72
BrCCCCCBr,1
CC(=O)N(C)C,3
CCCCC(=O)OC,9
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4
CCCCCl,2
CCCC(C)C,3
CCOC(C)=O | ClCCCl,16
OCC(F)(F)F | CO,17
CCOC=O | ClCCCCCl,31
CCCO,46
CCCCOC(=O)CC,4
CCCCC(=O)OCC | BrCCCBr,13
C1COCCO1,12
CCCCOC(=O)CCC,3
Cc1ccccc1N | Cc1ccncc1,54
CCCCn1cc[n+](C)c1.N#C[N-]C#N,10
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)F,10
CO | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,19
BrCCCCCCBr | CCOC(=O)CC,14
CCCCCCCCCC(=O)OC,4
COP(=O)([O-])OC.Cn1cc[n+](C)c1,24
CCCCCC(=O)CC,1
CCCCOC=O | CCCCCC,60
BrCCBr | CCOC(=O)CC,13
C1COCO1 | O=C1CCCC1,17
COc1ccccc1 | OCc1ccccc1,12
c1cc[nH]c1,10
COC(C)=O | BrCCCCCCBr,14
CCCC(=O)OCC | ClCCCCCCCl,16
BrCCCCCBr | CCOC(C)=O,11
CCCCOC(C)=O | ClCCCCCCl,11
CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],13
C[C@H](NCc1ccccc1)c1ccccc1,1
CN1CCCCC1 | CO,12
Cc1cccnc1,12
c1cc[nH]c1 | c1ccncc1,75
CS(C)=O | OCc1ccccc1,12
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
CCCC(=O)OC | CC(C)CC(C)(C)C,19
CCC(C)=O,7
CCCCC(=O)OC | COC=O,17
C1CCOCC1 | Cc1cccnc1,54
COC(C)=O | CC(C)CC(C)(C)C,20
CCCCOC(=O)CCC | ClCCCCCl,13
BrCCCBr | CCCCOC(=O)CCC,14
OCCOCCOCCOCCO,4
CCn1cc[n+](C)c1.F[B-](F)(F)F | CC(C)=O,72
CN(CCO)CCO,6
CCOC(C)=O | ClCCCCl,16
