Mixture,Count
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCO,122
C1CCOCC1 | CCCCO,73
Cn1ccnc1 | O,79
CCCC[N+]1(C)CCCCC1.N#C[N-]C#N | O,116
COC=O | ClCCCl,31
CCCCOC=O | BrCCCBr,26
Cc1ccncc1 | O,24
CCCC(=O)OCC | ClCCCCCl,30
COc1ccccc1 | OCc1ccccc1,29
COC=O | CO,37
CCCCOC=O | ClCCCCl,60
CCCCCCC | CCCOC(C)=O,15
ClC(Cl)Cl | COC(C)(C)C,30
CCCCOC=O | ClCCCCCCl,62
CO | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,34
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCCCC,38
CCCC(=O)OCC | BrCCCBr,29
CCOC=O | CCCCCCCC,107
Cc1ccccc1Cl | C1COCO1,72
CCCOC=O | CCCCCCCC,108
CCCCn1cc[n+](C)c1.N#C[N-]C#N | O,48
ClCCCCCCl | CCCOC(=O)CC,26
COC(C)=O | CC(C)CC(C)(C)C,38
OCCOCCOCCOCCO | OCc1ccccc1,29
CCCC(=O)OCC | ClCCCCCCl,32
CCCCOC=O | ClCCCCCCCl,59
CCCCC(=O)OC | COC=O,35
BrCCCCCBr | CCOC=O,28
CCCC[N+]1(C)CCCC1.N#C[N-]C#N | O,223
CCCOC(=O)CC | Cc1ccccc1,34
CCCC(=O)OC | BrCCCBr,29
Cc1ccccc1N | c1ccncc1,72
CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,128
CCOC=O | CCCCCCCCC,111
CCOC(=O)C(C)C | CCCO,44
CCOC=O | CCCCCC,83
CCCOC=O | CCCCCCCCC,108
CCCCC(=O)OC | BrCCCCCBr,28
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCO,56
CCOC(C)(C)C | CCC#N,18
CCCCOC=O | BrCCCCCBr,26
C1CCOCC1 | c1ccncc1,72
BrCCCCBr | CCCCOC(=O)CCC,25
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | O,24
CCCOC=O | CCCCCC,85
CCCC(=O)OCC | ClCCCCCCCl,31
COC=O | CCCCCCC,108
O | CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,92
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | CCO,133
CCCCC(=O)OC | BrCCBr,28
CCOC(C)=O | ClCCCCCCCl,30
BrCCCBr | CCCCOC(=O)CCC,25
CN1CCOCC1 | CO,22
CCCCC(=O)OCC | ClCCCCCl,33
CCCC(=O)OCC | BrCCCCCBr,30
Cc1ccccc1N | Cc1cccnc1,71
CCOC(=O)C(C)C | CCO,44
Cc1cccc(C)n1 | O,24
CCOC(=O)OCC | CCCO,66
CCOC(C)=O | CCCCCC,119
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,128
C1CCOCC1 | O=C1CCCC1,43
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | C[N+](=O)[O-],75
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCO,68
COP(=O)([O-])OC.Cn1cc[n+](C)c1 | CO,29
CCCCCO | C=C(C)[C@H]1CC=C(C)CC1,104
C1CCOCC1 | Cc1cccnc1,72
BrCCCCBr | CCOC(=O)CC,29
CCC(=O)OC | BrCCCCBr,33
Cc1ccccc1Cl | C1CCOCC1,69
CCC(=O)OC | BrCCBr,32
Cn1ccnc1 | CCCO,66
BrCCCCBr | CCCCOC(C)=O,28
CCCOC(C)=O | CCCCCCCCCC,108
CCCCC(=O)OCC | ClCCCCl,31
ClCCCCl | CCCOC(=O)CCC,28
CCCO | CC(C)CC(C)(C)C,64
OCC(F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,78
BrCCCBr | CCOC(=O)CC,29
ClCCCCCCCl | CCCOC(=O)CC,25
COC=O | CCCCCCCC,74
CS(C)=O | OCc1ccccc1,29
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCOCCO,46
