Mixture,Temperature,Pressure,Count
CN(C)CCO | O,298.15,101.0,3
CNc1ccccc1 | Cc1ccccc1,298.15,101.0,3
CCCCCC(C)=O | CCCNCCC,298.15,101.0,3
CCCCCC(C)=O | CCCCNCCCC,298.15,101.0,3
CCCCCC(C)=O | CCN(CC)CC,298.15,100.0,3
C=C(C)[C@H]1CC=C(C)CC1 | CCCCCO,303.0,101.0,3
O | OCC(O)CO,298.15,101.0,3
CCCCCl | CN1CCCC1=O,298.15,101.0,3
CCCCCCCl | CN1CCCC1=O,298.15,101.0,3
CN1CCCC1=O | ClCCCl,298.15,101.3,3
CN1CCCC1=O | ClCCCl,298.15,101.0,3
CN1CCCC1=O | ClCCCCCl,298.15,101.0,3
CN1CCCC1=O | ClCCCCCCCl,298.15,101.0,3
CCC(C)=O | CCN(CC)CC,298.15,100.0,3
C1CCOCC1 | CCCCCO,298.15,101.0,3
CCC(C)=O | Nc1ccccc1,298.15,101.0,3
CCC(C)=O | CNc1ccccc1,298.15,101.0,3
CCCCC | COC=O,291.15,101.0,3
CCCCC | CCOC=O,298.15,101.0,3
CCCCC | CCCOC=O,291.15,101.0,3
CCCCC | CCCOC=O,298.15,101.0,3
CCC(C)=O | CCCNCCC,298.15,101.0,3
CCC(C)=O | CCCCNCCCC,298.15,101.0,3
Clc1ccccc1 | c1ccccc1,298.15,101.3,3
C1CCOCC1 | O=C1CCCC1,298.15,101.0,3
C1CCOCC1 | CCCC(C)=O,298.15,101.0,3
C1CCOCC1 | CCCCCC(C)=O,298.15,101.0,3
CCCCC(=O)OCC | CCOC(C)=O,298.15,101.0,3
CCC(C)=O | CN1CCCC1=O,298.15,101.0,3
C1COCO1 | O=C1CCCC1,298.15,101.3,3
C1COCO1 | CCCC(C)=O,298.15,101.3,3
C1COCO1 | CCCCCC(C)=O,298.15,101.3,3
COc1ccccc1 | OCCc1ccccc1,308.15,101.0,3
COc1ccccc1 | OCCCc1ccccc1,308.15,101.0,3
CCOc1ccccc1 | OCc1ccccc1,308.15,101.0,3
CCOc1ccccc1 | OCCc1ccccc1,308.15,101.0,3
CCOc1ccccc1 | OCCCc1ccccc1,308.15,101.0,3
COc1ccccc1 | OCc1ccccc1,308.15,101.0,3
CCCCOC(C)=O | CCOC(C)=O,298.15,101.0,3
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2 | CCO,298.15,101.0,3
C1COCCO1 | O=C1CCCC1,298.15,101.3,3
C1COCCO1 | CCCC(C)=O,298.15,101.3,3
C1COCCO1 | CCCCCC(C)=O,298.15,101.3,3
CCOC(C)(C)C | Cc1ccccc1,298.15,101.0,3
C1COCCN1 | O,298.15,101.0,3
CC(C)CO | CCCCBr,298.15,101.3,3
CCCCO | OC1=NCCC1,298.15,101.0,3
CC(C)CO | OC1=NCCC1,298.15,101.0,3
