Mixture,Count
CCCCCCO,7
C=CCCCC | COC(C)(C)C,9
CCCCCCC,108
CS(C)=O | ClC=C(Cl)Cl,14
BrCCCCBr | CCOC(C)=O,30
CN(C)C=O,17
C1CCOCC1 | C1COCCO1,9
CCCCO | CCCCCCC,38
O=C1CCCCCC1,5
CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCCO,15
CS(C)=O | ClCCCl,17
O | CC(C)O,45
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | O,24
CCCCCOC=O | ClCCCCCCl,28
CCCCCCC | CCCCOC(=O)CC,18
CS(C)=O | OCCc1ccccc1,29
CCCCCC[n+]1ccc2ccccc2c1.N#C[S-] | O,180
CCCOC(=O)CC | CCCCCCO | c1ccccc1,198
C1CCOCC1 | CCCCCCCCCO,18
ClC(Cl)C(Cl)Cl,2
CCCCCC(=O)O | CN(C)C=O,62
CCC[N+](=O)[O-] | CCCCCCCCCCCC,7
CCCC(=O)OC | BrCCCCBr,25
C1CCOCC1 | CNc1ccccc1,14
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | c1ccccc1,39
[I-].[I-].[I-].[La+3] | [I-].[K+],11
C1CCOCC1 | CCCCCCCCCC,9
CCCCCCCCCl,2
C1COCCO1 | O=CO | [Cl-].[Cl-].[Zn+2],21
CCCOC=O | CCCCCCC,109
[I-].[I-].[I-].[La+3] | [I-].[Na+],13
COC(=O)CC(C)=O,6
OC1=NCCC1 | c1ccncc1,18
CN(C)CCCO | O,20
BrCCCBr | CCCCOC(=O)CC,27
CNc1ccccc1 | CCCCCC(C)=O,9
CCC(=O)CC,4
ClCCCCCCCl | CCCOC(=O)CC,25
CCCC(=O)OC,14
CCCCCC(C)=O | CCCNCCC,9
c1ccccc1 | ClCCCc1ccccc1,12
CCCC(=O)OCC | BrCCBr,31
CCCCCCCCCCCCCCCCC | CCCCCOC(=O)CC,15
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCCCO,23
CO | O=CO | Cl.N,20
C1COCCO1 | CCCCCC(C)=O,34
CCCCn1cc[n+](C)c1.N#C[N-]C#N,10
BrCCCCCCBr | CCOC=O,27
CCCCCCC(C)=O | CCCCCCO,38
OCC(F)(F)F,33
CCCC(C)=O | CCN(CC)CC,9
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | Cc1ccccc1,14
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCO,94
CCCOCCC,2
CCCCOCCCC | CCC(C)(C)C,20
CC(=O)N(C)C | CCCCCC,40
CCCCCCCl | CC(=O)N(C)C,23
Cc1cccnc1,12
CCCCCCCCCCO,2
CN(CCO)CCO | c1ccncc1,343
CCCOC(C)=O | C1CCCCC1,12
CCCC(=O)OC | CC(C)CC(C)(C)C,36
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CC1CCCCC1,11
CN1CCCC1=O | CCCCCCCl,23
O | CC(=O)C(C)=O,130
CCCOC(C)=O | CCCCCCCCCCCCC,17
CCCCO | CC(C)CC(C)(C)C,45
CCCCCCCO | C1CCCCC1,10
BrCCCCCBr | CCCCOC(=O)CC,29
CC(C)=O,8
Cc1ccccc1N | Cc1ccccc1,14
BrCBr | OC1=NCCC1,11
Cc1ccncc1,12
CCCCCCC | CCOC(=O)CC,17
BrCCCCBr | CCCCOC(C)=O,28
CC(=O)c1ccccc1 | CC(C)O,60
C1COCCO1 | O=CO | [Ca+2].[Cl-].[Cl-],22
C[Si](C)(C)O[Si](C)(C)C | CCCCCCC,1
BrCCCBr | CCOC(C)=O,31
CCO | CCCO | C1COCCO1,57
CC(C)OC(C)C | c1ccccc1 | CCCCCCC,24
COC=O | ClCCCCCCl,31
CCCOC(C)=O | CCCCCCCCC,94
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCCO,66
CC(C)(C)O | COC(C)=O,34
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)F | O,13
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCC(C)=O,13
CCCCCOCCCCC | CCCCCCCCCCCC,59
NCCNCCNCCN | O,20
COC=O | BrCCCBr,27
C1COCCO1 | O=CO,22
CCCCCCCC | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,13
CCOCCOCCO | OCc1ccccc1,17
COP(=O)(OC)OC | CCO,18
CCC[N+](=O)[O-] | CCCCCCCCCCCCCC,8
C1CCOC1 | CCC(C)(C)C,20
CCC#N,4
C1CCOC1 | CCCO,11
COC(C)=O | CCCCCCCC,38
C1CCOC1 | CCCCCCCCC,11
CCCCCl,2
CCOC(=O)CC(=O)OCC | CO,76
O | CC/C=C\CCO,67
BrCCCCCBr | CCOC(C)=O,30
O=Cc1ccccc1 | CCO,12
CCCCCOC(C)=O,1
CCCOC(C)=O | CCC#CCC,9
C1CCOCC1 | CCCCCCCCCCO,18
CCCCCOC(C)=O | CCCCCCCCCCC,16
CN(C)CCO | CCCO,66
CN1CCCCC1 | O,36
C1CCOCC1 | CCCCCC,14
C=CCCCCCC | CCCCCCCCCCO,9
CN(C)C=O | CCCCCCCCCl,23
C=C(C)CC(C)(C)C | CO,10
CC(C)=O | CNc1ccccc1,9
CCOC=O | ClCCCCCCl,47
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | C1CCCCC1,19
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCCCC,9
CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,14
CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,129
CCO,111
CCCC#N,1
COC(=O)OC | CCCCCCCCCC,79
c1ccncc1 | [Cd+2].[Cl-].[Cl-] | O,18
CCO | CCN(CC)CC | CCCCCC,104
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | C[N+](=O)[O-],67
OCC(F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,41
O=C=O | O,388
CC(=O)OCCO | O,7
CN(C)CCO | CO,97
C[C@@H](O)c1ccccc1,1
CCCCOC=O | ClCCCCCl,61
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,18
CCOC(=O)CC(C)=O,7
NCCNCCO | O,8
ClC(Cl)(Cl)Cl | CCCCC,11
C=CCCCC | CCCCCCCCCC,19
Cc1ccccc1N | CCCCCC,14
CCCCOC(=O)CC | ClCCCCCCCl,14
Cc1ccccc1N | Cc1ccccc1C,14
CC(C)C(C)C,2
CCC(C)(C)O,1
C1CCOCC1 | O=C1CCCCC1,107
CCn1cc[n+](C)c1.F[B-](F)(F)F | CN1CCCC1=O | O,32
C=CCCCCC | CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12
NCCO,6
CCCCCC | CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,128
BrCCCCCCBr | CCCCOC(=O)CCC,29
c1cc[nH]c1 | c1ccccc1,74
COC(=O)OC | CC(C)O,91
COC=O | CCCCCCCC,74
CCCCCCCCC | CCOC(=O)CC,17
CCCC(=O)OCC | ClCCCCl,31
CCCCO | CCCCCC | CCCCN(CCCC)CCCC,107
CNc1ccccc1 | Cc1ccccc1,9
OCCOCCOCCO | CCO,17
O=C1CCCC1,1
CCOC(=O)OCC | CCCCCCCCO,59
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCO,45
BrCBr | CC(C)=O,10
CCn1cc[n+](C)c1.N#C[N-]C#N | O,118
CCCOC(=O)CC,11
OCCOCCO,4
[Br-].[Br-].[Br-].[Pr+3] | [Br-].[K+],19
CCCCCCCCO | CCCCCCC(C)=O,69
CC(=O)OCCOC(C)=O | O,15
C1CCOCC1 | CCCCCCCO,11
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | c1ccccc1,25
CN1CCCC1=O | ClC=C(Cl)Cl,14
COC(=O)OC | CCOC(=O)c1ccccc1,35
CCCOC=O | CCCCCC,85
CCCCCCCC | Cc1cccc(C)n1,9
CCCCOC(=O)CC,4
CCC(C)(C)C,2
CCO | CCCCCCCCCC,15
BrCCCCCBr | CCCCOC(C)=O,27
CCn1cc[n+](C)c1.COP(=O)([O-])OC | O | CO,16
O=C=O | CCOC(=O)OCC,160
CCO | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
C=CCCCCCC | CCCCCCCCO,9
c1cc[nH]c1 | c1ccncc1,113
CCO | OCCOCCO,9
Cc1ccccc1N | C1CCCCC1,14
CCCCO | C1CCCCC1,19
CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],13
CCCCCC | CCCCCO,18
CCCCOCCCC | CCCCCCC,38
C1CCCCC1 | CCOC(C)(C)C,38
CN1CCCC1=O | CCC(C)=O,15
CCOC(=O)C(=O)OCC | CCCO,76
ClCCCCCCl | CCCOC=O,26
CC(Cl)(Cl)Cl,2
CCCCc1ccccc1 | ClCCCc1ccccc1,12
CC#N | CCCCCO,75
CCCCOCCCC | OCc1ccccc1,17
CCC(=O)OC | CCCCCCCCCCCCC,18
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7
CC(=O)C(C)C | O,94
CCCCOC | CC#CCCC,6
C[C@H]1COC(=O)O1,1
[Fe] | [Pd],2
CCOC(=O)CC(=O)OCC | CCOC(C)=O,114
Cc1cccc(C)n1 | CCCCCCC,13
COC(C)(C)C | CCO | CCCCCCCCCC,33
CCCCCCCCCCCCCCCCC | CCCCOC(=O)CC,18
CCOC(C)=O | CCCCC,48
CCCO | CCCCCCC,60
CCN(CC)CCCN | C1CCCCC1,19
CCCC(=O)OCC | ClCCCCCl,30
Cc1cnccn1 | CCCCCCC,10
OCc1ccccc1 | CCCO,9
CCCCCOC=O | ClCCCCCl,30
O=Cc1ccccc1 | CCCCCO,12
ClCCCCCCCl | CCCOC(C)=O,27
CCC(C)=O,8
CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1 | O=[N+]([O-])[O-].[Li+] | O,32
CCOC(C)=O | CCC(C)=O,27
C=CCCCC,3
CCCC(=O)OC | CCCCCCCC,37
CC(=O)CC(C)=O | CCCO,84
Cc1ccc(C)cc1 | C1COCCO1,16
C1CCNCC1 | O,18
CCOC(=O)CC | CCCCCCCCCCCCC,18
OCCOCCOCCO | O,9
O | CCCOC(C)=O,104
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],44
CC(=O)C(C)=O,7
BrCCCCCCBr,1
OCc1ccccc1 | CO,11
CCCCO | CCC(C)=O,26
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | O,18
COC(C)=O,9
CC(C)OC(C)C | CCCCO,13
COC(C)=O | CCCCCCCCCCC,19
CCCOC(=O)CC | CCCCCC | Cc1ccccc1,102
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | C[N+](=O)[O-],87
CCCCC(=O)OCC | ClCCCl,32
CCCCCO | CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,79
CCCC(=O)OCC | BrCCCBr,29
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2 | CCCCO,44
C1CCCCC1 | C1CCOCC1 | C1CCNCC1,24
CCCCC(=O)OCC | BrCCCCCCBr,28
CCCCOCCCC | CC(C)CC(C)(C)C,38
OCc1ccccc1 | CCCCO,9
CCCCCCCCCCC | CCCOC(=O)CC,16
CCCC(C)=O | CCCCNCCCC,9
CCCCC(=O)OC | CCCCCCC,16
CCCCOCCCC | Cc1ccccc1,38
CO | O=CO | [Cd+2].[Cl-].[Cl-],12
OCC(O)CO | O,9
C1COCCO1 | O=CO | Cl.N,10
Cc1ccccc1N | Cc1ccncc1,72
CCCc1ccccc1 | ClCCc1ccccc1,16
CCCCCCCOC,8
CCO | CCCCCC,17
Cc1ccccc1 | ClCCCc1ccccc1,15
Cc1ccccc1N,4
CCC(=O)OC | BrCCCBr,33
COC(C)=O | CC(C)CC(C)(C)C,38
CCCCCOCCCCC | CCCCCCCCCCCCCCCC,56
CCCOC(=O)CC | CCCCCCO,18
CS(C)=O | OCc1ccccc1,29
COC=O | ClCCCCCCCl,30
OCCO | OCc1ccccc1,29
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | C[N+](=O)[O-],99
[Br-].[Br-].[Br-].[Pr+3] | [Br-].[Cs+],20
CCCCCCCCCCCCCCCCC | CCOC(=O)CC,16
CCOC(=O)CC | ClCCCCCl,15
CCOC(=O)C(=O)OCC | CC(C)O,76
CNc1ccccc1 | C1CCCCC1,9
CCCCO | CCCCCC | CCCCCCCCN(CCCCCCCC)CCCCCCCC,46
CCCCCOC(=O)CC,1
Cc1ccccc1N | Cc1ccc(C)cc1,14
CCC(C)=O | CNc1ccccc1,9
CCCO | Cc1ccccc1,38
C1CCCC1 | CCCCCCCO,11
CC(C)OC(C)C | Cc1ccccc1,10
CS(C)=O | CC(=O)CC(C)C,16
CCCCCCCCC(C)=O | CCCCCCCCCCCCCC,60
C1CCCC1 | CCCCCO,10
c1ccncc1 | O,37
BrCBr | CCOCC,9
CC(=O)O | CCCOC(C)=O,24
CCCC(C)=O | Nc1ccccc1,11
BrCCBr | CCCCOC(C)=O,29
CS(C)=O | C1CCOC1,17
CC(=O)N(C)C | c1ccccc1,15
CCN(CC)CCCN,1
C1CCCCC1 | C1CCNCC1,9
CC(=O)CC(C)=O | CCCCCCC,41
CC(C)(C)O,6
O=S(=O)([O-])O.[K+] | O=S(=O)([O-])O.[Na+],7
CC(C)OC(C)C | Cc1cccc(C)c1,11
ClCCCc1ccccc1,1
CCCCBr | CCCCCCCCO,13
CCCCC(=O)OC | BrCCBr,28
O=[N+]([O-])c1ccccc1,1
CCCOC(C)=O | CC#CCCC,9
CCOC(=O)CC(=O)OCC | CC(C)O,76
CCOC(C)=O | CCCCCCCCCC,159
CC(=O)OCCOC(C)=O | OCCO,19
CN(C)C=O | ClCCCCCCCl,23
C=CCCCCCC,1
C[C@@H]1COC(=O)O1,1
Cc1ccccn1,11
CN1CCCCC1 | CO,24
ClC(Cl)(Cl)Cl | CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,30
CCOC=O | ClCCCCCCCl,46
CCn1cc[n+](C)c1.F[B-](F)(F)F | CS(C)=O,90
C1COCCO1 | O=C1CCCCC1,106
CCO | CCCCCCCC,20
BrCCCCCCBr | CCOC(=O)CC,30
CCCC(C)=O | O,83
CCC#N | ClC(Cl)(Cl)Cl,14
CCCCCCC | CCCOC(C)=O,15
Cc1ccncc1 | O,24
O=C1CCCCC1 | OC1CCCCC1,38
CN1CCCC1=O | ClCCCCCl,23
CC(=O)CC(C)=O | O,30
ClC(Cl)(Cl)Cl,6
O | CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,99
CCC(=O)OC | BrCCBr,32
CC(C)=O | O=C=O,129
COC(C)(C)C | CCCCCO | CCCCCCCCCC,53
CCCCO | CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,72
CCCCCCCCCCCC | CCOC(C)=O | CCCCC(=O)OCC,42
O,402
CCC(=O)OC | CCCCCCCCCCCCCCC,17
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCO,8
CN(C)CCO | CC(C)O,69
COCOC,1
CCCCCCO | CCCCCCC(C)=O,68
CCCCC(=O)OC | BrCCCCCCBr,26
C1CCCCC1 | CCOC(C)OCC,19
COC(C)(C)C,12
CCOc1ccccc1 | OCCc1ccccc1,30
CC(C)(C)O | CCC(=O)OC,33
CS(C)=O | COCCOC,17
CCCC#N | ClC(Cl)(Cl)Cl,18
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCCC,19
C[n+]1ccn(CCO)c1.O=C([O-])C(F)(F)F,7
CCC(C)CC,3
C1COCO1 | CCCCCC(C)=O,40
OCc1ccccc1 | CCCCCO,9
ClC(Cl)Cl | COC(C)(C)C,30
CO | O=CO | [Cl-].[Na+],11
COC(=O)OC | CCCCCC,80
BrCCCCBr | CCOC(=O)CC,29
C=CCCCC | CCCCCCCCCCCCCC,19
Clc1ccccc1Cl | c1ccccc1 | CCCCCCCl,57
CNc1ccccc1 | CCCCCCC,9
CCCC(=O)OC | CC(C)(C)O,35
CC(=O)N(C)C | ClCCCl,23
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1 | CCCCCCC,1
C1CCOCC1 | c1ccccc1,14
CC(=O)N(C)C | CCO,13
COC(C)(C)C | CCCO | CCCCCCCCC,44
C1COCCN1 | C1CCCCC1,9
ClC=C(Cl)Cl,2
CCCCOC(C)=O | CCCCCCCCCCCCCCC,18
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CO,63
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
CCO | C1CCOCC1 | CCCO,57
CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | c1ccccc1,14
CN1CCN(C)CC1 | O,36
CC(C)(C)O | CCOC(=O)CC,30
