Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),Source
0cac9877121b4d4eb3c1cf80cae863b8,298.15,101.0,Liquid,2,COC=O,Solvent,0.5138,,ClCCCCl,Solvent,0.48619999999999997,,,,,,1.08831,0.00025000000000000006,10.1016/j.jct.2006.10.008
5fd0fee5a8d14b02be62e85ed1bf5c98,298.15,101.0,Liquid,2,COC=O,Solvent,0.5789,,ClCCCCl,Solvent,0.42110000000000003,,,,,,1.0744300000000002,0.00023500000000000005,10.1016/j.jct.2006.10.008
1d4b705e75134a9694ae887ff18b92d9,298.15,101.0,Liquid,2,COC=O,Solvent,0.635,,ClCCCCl,Solvent,0.365,,,,,,1.0620400000000003,0.00022500000000000005,10.1016/j.jct.2006.10.008
fa4cae22b8984841a70bba90a4476920,298.15,101.0,Liquid,2,COC=O,Solvent,0.688,,ClCCCCl,Solvent,0.31200000000000006,,,,,,1.0498200000000002,0.00021000000000000004,10.1016/j.jct.2006.10.008
60ac798fc59746aa9df8a943c209099d,298.15,101.0,Liquid,2,COC=O,Solvent,0.7384,,ClCCCCl,Solvent,0.26160000000000005,,,,,,1.0375400000000001,0.00020000000000000006,10.1016/j.jct.2006.10.008
aa72adb80c9941838573f0d3ef5fcd56,298.15,101.0,Liquid,2,COC=O,Solvent,0.7876,,ClCCCCl,Solvent,0.21240000000000003,,,,,,1.0253500000000002,0.00018500000000000005,10.1016/j.jct.2006.10.008
c2064675d3e343c48ac99e2df5677d54,298.15,101.0,Liquid,2,COC=O,Solvent,0.8341,,ClCCCCl,Solvent,0.16590000000000005,,,,,,1.0134300000000003,0.00017500000000000003,10.1016/j.jct.2006.10.008
bac7238d09754d1f89ebdddc406b08ce,298.15,101.0,Liquid,2,COC=O,Solvent,0.878,,ClCCCCl,Solvent,0.122,,,,,,1.0015900000000002,0.00016500000000000005,10.1016/j.jct.2006.10.008
f1e794c040ff481eaa80e1ab8ff851cf,298.15,101.0,Liquid,2,COC=O,Solvent,0.9206,,ClCCCCl,Solvent,0.07940000000000003,,,,,,0.9898100000000002,0.00017000000000000004,10.1016/j.jct.2006.10.008
d32d3a1a3d6844acba7a385fa8a992ad,298.15,101.0,Liquid,2,COC=O,Solvent,0.9607,,ClCCCCl,Solvent,0.0393,,,,,,0.9782400000000002,0.00017500000000000003,10.1016/j.jct.2006.10.008
