Mixture,Count
CNC=O | Cc1ccccc1N,3
C1CCOCC1 | CCCCCC(C)=O,3
CC(C)CC(C)(C)C | CCCC(=O)OC,3
BrCCCBr | COC(C)=O,3
CCOC(=O)CC(=O)OCC | CO,3
NCCCO | O,3
CCC(C)=O | CNc1ccccc1,3
CN(C)C=O | ClCCCCCCCl,3
c1cc[nH]c1 | c1ccncc1,3
CC(C)=O | Nc1ccccc1,3
CCCCCl | CN1CCCC1=O,3
CCOc1ccccc1 | OCCc1ccccc1,3
Cc1ccccc1N | Cc1ccncc1,3
C1COCCO1 | CCCC(C)=O,3
