Mixture,Temperature,Pressure,Count
BrCCCCCBr | CCCCOC(C)=O,298.15,101.0,13
BrCCCCCCBr | CCCCOC(C)=O,298.15,101.0,14
BrCCBr | CCCCOC(=O)CC,298.15,101.0,14
BrCCCBr | CCCCOC(=O)CC,298.15,101.0,14
BrCCCCBr | CCCCOC(=O)CC,298.15,101.0,15
BrCCCCCBr | CCCCOC(=O)CC,298.15,101.0,16
BrCCCCCCBr | CCCCOC(=O)CC,298.15,101.0,14
BrCCBr | CCCCOC(=O)CCC,298.15,101.0,13
BrCCCBr | CCCCOC(=O)CCC,298.15,101.0,14
BrCCCCBr | CCCCOC(=O)CCC,298.15,101.0,13
BrCCCCCBr | CCCCOC(=O)CCC,298.15,101.0,15
BrCCCCCCBr | CCCCOC(=O)CCC,298.15,101.0,16
c1ccccc1,298.1,101.325,9
c1ccccc1,308.15,101.325,9
c1ccccc1,298.15,101.325,9
Cc1ccccc1,298.15,101.0,10
Cc1ccccc1,308.15,101.325,10
Cc1ccccc1,303.15,101.325,10
Cc1ccccc1,298.15,101.325,10
CCc1ccccc1,303.15,101.325,4
CCc1ccccc1,298.15,101.325,4
CCCc1ccccc1,298.15,101.325,1
CCCCc1ccccc1,298.15,101.325,1
Clc1ccccc1,303.15,101.325,2
Clc1ccccc1,298.15,101.325,2
ClCc1ccccc1,298.15,101.325,1
ClCCc1ccccc1,298.15,101.325,1
ClCCCc1ccccc1,298.15,101.325,1
C1CCCCC1,293.15,101.325,42
C1CCCCC1,298.1,101.325,42
C1CCCCC1,298.15,101.0,42
C1CCCCC1,308.15,101.325,42
C1CCCCC1,298.15,101.325,42
CCOC=O,291.15,101.0,34
CCOC=O,318.15,101.32,34
CCOC=O,308.15,101.0,34
CCOC=O,298.15,101.0,34
CCOC=O,318.15,101.0,34
CCOC=O,291.15,101.325,34
CCOC=O,298.15,101.325,34
CCOC=O,291.15,101.32,34
CCOC=O,308.15,101.32,34
CCOC=O,298.15,101.32,34
CCCC(=O)OCC,298.15,101.325,2
CCCCC(=O)OCC,298.15,101.325,2
ClCCCl,303.1,101.325,5
ClCCCl,303.15,101.325,5
ClCCCl,298.15,101.325,5
ClCCCCl,298.15,101.325,1
ClCCCCCl,298.15,101.325,3
ClCCCCCCl,298.15,101.325,1
ClCCCCCCCl,298.15,101.325,3
CCOC(C)=O | ClCCCl,298.15,101.325,16
CCOC(C)=O | ClCCCCCl,298.15,101.325,15
CCOC(C)=O | ClCCCCCCCl,298.15,101.325,16
CCCC(=O)OCC | ClCCCl,298.15,101.325,16
CCCC(=O)OCC | ClCCCCCl,298.15,101.325,14
CCCC(=O)OCC | ClCCCCl,298.15,101.325,15
CCCC(=O)OCC | ClCCCCCCl,298.15,101.325,15
CCCC(=O)OCC | ClCCCCCCCl,298.15,101.325,16
CCCCC(=O)OCC | ClCCCl,298.15,101.325,16
CCCCC(=O)OCC | ClCCCCl,298.15,101.325,15
CCCCC(=O)OCC | ClCCCCCl,298.15,101.325,16
CCCCC(=O)OCC | ClCCCCCCl,298.15,101.325,15
CCCCC(=O)OCC | ClCCCCCCCl,298.15,101.325,12
CCOC(C)=O | ClCCCCl,298.15,101.325,16
CCOC(C)=O | ClCCCCCCl,298.15,101.325,15
CCOC(=O)CC | ClCCCl,298.15,101.325,16
CCOC(=O)CC | ClCCCCl,298.15,101.325,14
CCOC(=O)CC | ClCCCCCl,298.15,101.325,15
CCOC(=O)CC | ClCCCCCCl,298.15,101.325,15
CCOC(=O)CC | ClCCCCCCCl,298.15,101.325,13
CCCCOC=O,291.15,101.0,35
CCCCOC=O,318.15,101.32,35
CCCCOC=O,308.15,101.0,35
CCCCOC=O,318.15,101.325,35
CCCCOC=O,298.15,101.0,35
CCCCOC=O,318.15,101.0,35
CCCCOC=O,291.15,101.325,35
CCCCOC=O,303.15,101.325,35
CCCCOC=O,298.15,101.325,35
CCCCOC=O,291.15,101.32,35
CCCCOC=O,308.15,101.32,35
CCCCOC=O,298.15,101.32,35
CCCCCCCC,291.15,101.0,60
CCCCCCCC,298.1,101.325,60
CCCCCCCC,293.15,101.3,60
CCCCCCCC,288.15,101.325,60
CCCCCCCC,298.15,100.0,60
CCCCCCCC,328.15,101.0,60
CCCCCCCC,308.15,101.325,60
CCCCCCCC,318.15,101.32,60
CCCCCCCC,308.15,101.0,60
CCCCCCCC,303.15,101.325,60
CCCCCCCC,298.15,101.32,60
CCCCCCCC,318.15,101.0,60
CCCCCCCC,303.15,101.3,60
CCCCCCCC,298.15,101.325,60
CCCCCCCC,291.15,101.32,60
CCCCCCCC,318.15,101.3,60
CCCCCCCC,328.15,101.32,60
CCCCCCCC,293.15,101.325,60
CCCCCCCC,298.15,101.0,60
CCCCCCCC,298.15,101.3,60
CCCCCCCC,313.15,101.3,60
COC=O | CCCCCCC,291.15,101.0,53
COC=O | CCCCCCC,298.15,101.0,53
COC=O | CCCCCCC,298.15,101.325,53
COC=O | CCCCCCCC,291.15,101.0,38
COC=O | CCCCCCCC,298.15,101.0,38
COC=O | CCCCCCCCC,291.15,101.0,38
COC=O | CCCCCCCCC,298.15,101.0,38
CCOC=O | CCCCCCC,291.15,101.0,76
CCOC=O | CCCCCCC,308.15,101.0,76
CCOC=O | CCCCCCC,298.15,101.0,76
CCOC=O | CCCCCCC,318.15,101.0,76
CCOC=O | CCCCCCCC,291.15,101.0,76
CCOC=O | CCCCCCCC,308.15,101.0,76
CCOC=O | CCCCCCCC,298.15,101.0,76
CCOC=O | CCCCCCCC,318.15,101.0,76
CCOC=O | CCCCCCCCC,291.15,101.0,76
CCOC=O | CCCCCCCCC,308.15,101.0,76
CCOC=O | CCCCCCCCC,298.15,101.0,76
CCOC=O | CCCCCCCCC,318.15,101.0,76
CCCOC=O | CCCCCCC,291.15,101.0,76
CCCOC=O | CCCCCCC,308.15,101.0,76
CCCOC=O | CCCCCCC,298.15,101.0,76
CCCOC=O | CCCCCCC,318.15,101.0,76
CCCOC=O | CCCCCCCC,291.15,101.0,76
CCCOC=O | CCCCCCCC,308.15,101.0,76
CCCOC=O | CCCCCCCC,298.15,101.0,76
CCCOC=O | CCCCCCCC,318.15,101.0,76
CCCOC=O | CCCCCCCCC,291.15,101.0,76
CCCOC=O | CCCCCCCCC,308.15,101.0,76
CCCOC=O | CCCCCCCCC,298.15,101.0,76
CCCOC=O | CCCCCCCCC,318.15,101.0,76
CCCCOC=O | CCCCCCC,291.15,101.0,76
CCCCOC=O | CCCCCCC,308.15,101.0,76
CCCCOC=O | CCCCCCC,298.15,101.0,76
CCCCOC=O | CCCCCCC,318.15,101.0,76
CCCCOC=O | CCCCCCCC,291.15,101.0,76
CCCCOC=O | CCCCCCCC,308.15,101.0,76
CCCCOC=O | CCCCCCCC,298.15,101.0,76
CCCCOC=O | CCCCCCCC,318.15,101.0,76
CCCCOC=O | CCCCCCCCC,291.15,101.0,76
CCCCOC=O | CCCCCCCCC,308.15,101.0,76
CCCCOC=O | CCCCCCCCC,298.15,101.0,76
CCCCOC=O | CCCCCCCCC,318.15,101.0,76
Cn1ccnc1,298.15,98.0,31
Cn1ccnc1,328.15,98.0,31
Cn1ccnc1,318.15,98.0,31
Cn1ccnc1,288.15,98.0,31
Cn1ccnc1,298.15,101.325,31
Cn1ccnc1,308.15,98.0,31
CN1CCCCC1,293.15,101.325,5
CN1CCCCC1,288.15,101.325,5
CN1CCCCC1,308.15,101.325,5
CN1CCCCC1,303.15,101.325,5
CN1CCCCC1,298.15,101.325,5
CN1CCOCC1,298.15,101.325,1
Cc1cccnc1,293.15,101.325,12
Cc1cccnc1,308.15,101.0,12
Cc1cccnc1,303.15,101.0,12
Cc1cccnc1,298.15,101.0,12
Cc1cccnc1,308.15,101.325,12
Cc1cccnc1,303.15,101.325,12
Cc1cccnc1,298.15,101.325,12
Cc1ccncc1,293.15,101.325,12
Cc1ccncc1,308.15,101.0,12
Cc1ccncc1,303.15,101.0,12
Cc1ccncc1,298.15,101.0,12
Cc1ccncc1,308.15,101.325,12
Cc1ccncc1,303.15,101.325,12
Cc1ccncc1,298.15,101.325,12
Cc1cccc(C)n1,298.15,101.325,1
Cn1ccnc1 | O,298.15,98.0,67
Cn1ccnc1 | O,298.15,101.0,67
Cn1ccnc1 | O,328.15,98.0,67
Cn1ccnc1 | O,318.15,98.0,67
Cn1ccnc1 | O,288.15,98.0,67
Cn1ccnc1 | O,308.15,98.0,67
CN1CCCCC1 | O,298.15,101.0,18
CN1CCOCC1 | O,298.15,101.0,12
Cc1cccnc1 | O,298.15,101.0,12
Cc1ccncc1 | O,298.15,101.0,12
Cc1cccc(C)n1 | O,298.15,101.0,12
Cn1ccnc1 | CO,298.15,98.0,65
Cn1ccnc1 | CO,298.15,101.0,65
Cn1ccnc1 | CO,328.15,98.0,65
Cn1ccnc1 | CO,318.15,98.0,65
Cn1ccnc1 | CO,288.15,98.0,65
Cn1ccnc1 | CO,308.15,98.0,65
CN1CCCCC1 | CO,298.15,101.0,12
CN1CCOCC1 | CO,298.15,101.0,12
Cc1cccnc1 | CO,298.15,101.0,10
Cc1ccncc1 | CO,298.15,101.0,10
