Mixture,Temperature,Pressure,Count
CCCCCCC | c1ccccc1,298.15,101.0,6
CC(C)CC(C)(C)C | CCCCOCCCC,298.15,101.0,6
NCCNCCO | O,313.15,101.0,6
NCCNCCO | O,298.15,101.0,6
COC=O | ClCCCl,298.15,101.0,6
COC=O | ClCCCCl,298.15,101.0,6
CCOC=O | ClCCCl,298.15,101.0,6
CCOC=O | ClCCCl,298.15,101.325,6
CCCOC=O | ClCCCl,298.15,101.0,6
CCC(C)(C)O | CCOC(C)(C)CC,297.71,101.0,6
CCC(C)(C)O | CCOC(C)(C)CC,298.15,101.0,6
CCCCC(=O)OC | COC=O,298.15,100.0,6
CCCCC(=O)OC | CO,298.15,100.0,6
CO | COC=O,298.15,100.0,6
CCCOC(=O)CC | ClCCCl,298.15,101.0,6
CN(C)C=O | ClCCCl,298.15,100.0,6
CN(C)C=O | ClCCCl,298.15,101.0,6
CN(C)C=O | ClCCCCCl,298.0,100.0,6
CN(C)C=O | ClCCCCCl,298.15,101.0,6
CN(C)C=O | ClCCCCCCCl,298.0,100.0,6
CN(C)C=O | ClCCCCCCCl,298.15,101.0,6
CC(=O)N(C)C | ClCCCl,298.0,100.0,6
CC(=O)N(C)C | ClCCCl,298.15,101.0,6
CC(=O)N(C)C | ClCCCCCl,298.0,100.0,6
CC(=O)N(C)C | ClCCCCCl,298.15,101.0,6
CC(C)OC(C)C | CCO,298.15,100.8,6
CC(C)OC(C)C | CCO,298.15,101.3,6
CC(C)OC(C)C | CCO,303.15,101.0,6
C1CCOCC1 | c1ccccc1,308.15,101.0,6
C1CCOCC1 | c1ccccc1,298.15,101.0,6
C1CCOCC1 | Cc1ccccc1,308.15,101.0,6
C1CCOCC1 | Cc1ccccc1,298.15,101.0,6
C1CCOCC1 | Cc1ccccc1C,308.15,101.0,6
C1CCOCC1 | Cc1ccccc1C,298.15,101.0,6
CC(C)CC(C)(C)C | CCCO,298.15,101.0,6
O | OCCN1CCOCC1,298.15,101.0,6
O | OCCN1CCOCC1,293.15,101.0,6
OCCOCCO | OCc1ccccc1,308.15,101.32,6
CC(C)CC(C)(C)C | CCCC(=O)OC,298.15,100.0,6
CC(C)CC(C)(C)C | COC(C)=O,298.15,100.0,6
CCCCC(=O)OC | COC(C)=O,298.15,100.0,6
CCCC(=O)OC | COC(C)=O,298.15,100.0,6
CCCO | O=Cc1ccccc1,298.15,101.0,6
CCCO | O=Cc1ccccc1,298.15,101.325,6
c1cc[nH]c1 | c1ccccc1,298.15,101.0,6
C1CCCCC1 | c1cc[nH]c1,298.15,101.0,6
NCCNCCN | O,303.15,100.0,6
NCCNCCN | O,293.15,101.0,6
CCOCCO | OCc1ccccc1,308.15,101.0,6
CCOCCO | OCc1ccccc1,298.15,100.0,6
CCOCCO | c1ccccc1,308.15,101.0,6
CCOCCO | c1ccccc1,298.15,101.0,6
CN(C)CCCO | O,298.15,101.3,6
CN(C)CCCO | O,298.15,101.0,6
CN(C)CCCO | O,303.15,100.0,6
CCOC(=O)CC(=O)OCC | CO,298.2,101.3,6
CCOC(=O)CC(=O)OCC | CO,298.15,101.0,6
CC(C)O | CCOC(=O)CC(=O)OCC,298.2,101.3,6
CC(C)O | CCOC(=O)CC(=O)OCC,298.15,101.0,6
CC(C)CO | CCOC(=O)CC(=O)OCC,298.15,101.3,6
CC(C)CO | CCOC(=O)CC(=O)OCC,298.15,101.0,6
CN1CCCC1=O | c1ccncc1,298.15,101.0,6
OC1=NCCC1 | c1ccncc1,298.15,101.0,6
C1CCOCC1 | CCO,298.15,101.3,6
CO | OCCO,298.15,101.3,5
CO | OCCO,298.15,101.0,5
Cc1ccccc1N | c1ccncc1,308.15,101.0,6
Cc1ccccc1N | c1ccncc1,298.15,101.0,6
Cc1ccccc1N | Cc1ccccn1,308.15,101.0,6
Cc1ccccc1N | Cc1ccccn1,298.15,101.0,6
Cc1ccccc1N | Cc1cccnc1,308.15,101.0,6
Cc1ccccc1N | Cc1cccnc1,298.15,101.0,6
Cc1ccccc1N | Cc1ccncc1,308.15,101.0,6
Cc1ccccc1N | Cc1ccncc1,298.15,101.0,6
CCCCOC(C)=O | c1ccccc1,308.15,101.3,6
CCCCOC(C)=O | c1ccccc1,298.15,101.31,6
CC(C)=O | Nc1ccccc1,298.15,101.0,6
CC(C)=O | CNc1ccccc1,298.15,101.0,6
C1CCCCC1 | CC(C)O,298.15,101.0,6
C1CCCC1 | CCCCCCCO,298.15,101.0,6
NCCCO | O,298.15,101.3,6
NCCCO | O,298.15,101.0,6
CCCOC(=O)CC | Cc1ccccc1,298.15,101.3,6
CCCOC(=O)CC | Cc1ccccc1,298.15,101.0,6
CCCCCCC | CNc1ccccc1,298.15,100.0,6
CCCCCCC | CNc1ccccc1,298.15,101.0,6
C1CCCCC1 | CNc1ccccc1,298.15,100.0,6
C1CCCCC1 | CNc1ccccc1,298.15,101.0,6
CNc1ccccc1 | Cc1ccccc1,298.15,100.0,6
CNc1ccccc1 | Cc1ccccc1,298.15,101.0,6
CCCCCC(C)=O | CCCNCCC,298.15,101.3,6
CCCCCC(C)=O | CCCNCCC,298.15,101.0,6
CCCCCC(C)=O | CCCCNCCCC,298.15,101.3,6
CCCCCC(C)=O | CCCCNCCCC,298.15,101.0,6
CCCCCC(C)=O | CCN(CC)CC,298.15,101.3,6
CCCCCC(C)=O | CCN(CC)CC,298.15,100.0,6
C=C(C)[C@H]1CC=C(C)CC1 | CCCCCO,303.0,101.0,6
C=C(C)[C@H]1CC=C(C)CC1 | CCCCCO,293.15,101.0,6
O | OCC(O)CO,298.15,101.0,6
CCCCCl | CN1CCCC1=O,298.15,100.0,6
CCCCCl | CN1CCCC1=O,298.15,101.0,6
CCCCCCCl | CN1CCCC1=O,298.15,100.0,6
CCCCCCCl | CN1CCCC1=O,298.15,101.0,6
CN1CCCC1=O | ClCCCl,298.15,101.3,6
CN1CCCC1=O | ClCCCl,298.15,100.0,6
CN1CCCC1=O | ClCCCl,298.15,101.0,6
CN1CCCC1=O | ClCCCCCl,298.15,100.0,6
CN1CCCC1=O | ClCCCCCl,298.15,101.0,6
CN1CCCC1=O | ClCCCCCCCl,298.15,100.0,6
CN1CCCC1=O | ClCCCCCCCl,298.15,101.0,6
CCC(C)=O | CCN(CC)CC,298.15,100.0,6
CCC(C)=O | CCN(CC)CC,298.15,101.0,6
C1CCOCC1 | CCCCCO,298.15,101.0,6
CCC(C)=O | Nc1ccccc1,298.15,101.0,6
CCC(C)=O | CNc1ccccc1,298.15,101.0,6
CN1CCOCC1 | O,293.15,101.0,3
CCCCC | COC=O,291.15,101.0,6
CCCCC | CCOC=O,298.15,101.0,6
CCCCC | CCCOC=O,291.15,101.0,6
CCCCC | CCCOC=O,298.15,101.0,6
CCC(C)=O | CCCNCCC,298.15,101.0,6
CCC(C)=O | CCCCNCCCC,298.15,101.0,6
Clc1ccccc1 | c1ccccc1,298.15,101.3,6
C1CCOCC1 | O=C1CCCC1,298.15,101.0,6
C1CCOCC1 | CCCC(C)=O,298.15,101.0,6
C1CCOCC1 | CCCCCC(C)=O,298.15,101.0,6
CCCOC(C)=O | O,303.2,101.0,1
CCCCC(=O)OCC | CCOC(C)=O,298.15,101.0,6
CCC(C)=O | CN1CCCC1=O,303.15,101.0,6
CCC(C)=O | CN1CCCC1=O,298.15,101.0,6
C1COCO1 | O=C1CCCC1,298.15,101.3,6
C1COCO1 | CCCC(C)=O,298.15,101.3,6
C1COCO1 | CCCCCC(C)=O,298.15,101.3,6
COc1ccccc1 | OCCc1ccccc1,308.15,101.0,6
COc1ccccc1 | OCCCc1ccccc1,308.15,101.0,6
CCOc1ccccc1 | OCc1ccccc1,308.15,101.0,6
CCOc1ccccc1 | OCCc1ccccc1,308.15,101.0,6
CCOc1ccccc1 | OCCCc1ccccc1,308.15,101.0,6
COc1ccccc1 | OCc1ccccc1,308.15,101.0,6
CCCCOC(C)=O | CCOC(C)=O,298.0,101.0,6
CCCCOC(C)=O | CCOC(C)=O,298.15,101.0,6
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2 | CCO,298.15,101.0,6
C1COCCO1 | O=C1CCCC1,298.15,101.3,6
C1COCCO1 | CCCC(C)=O,298.15,101.3,6
C1COCCO1 | CCCCCC(C)=O,298.15,101.3,6
CCOC(C)(C)C | Cc1ccccc1,298.15,101.3,6
CCOC(C)(C)C | Cc1ccccc1,298.15,101.0,6
C1COCCN1 | O,298.15,101.0,6
C1COCCN1 | O,298.15,101.325,6
CC(C)CO | CCCCBr,298.15,101.3,6
CC(C)CO | CCCCBr,308.15,101.325,6
CCCCO | OC1=NCCC1,298.15,101.0,6
CC(C)CO | OC1=NCCC1,298.15,101.0,6
CC(C)(C)O | OC1=NCCC1,298.15,101.0,6
CC1CCCCC1 | CCCO,298.15,100.0,6
CC1CCCCC1 | CCCO,298.15,101.0,6
CCCCCCCCC | COC(C)(C)C,298.15,101.3,6
CCCCCCCCC | COC(C)(C)C,298.15,101.0,6
C=CCCCC | CCCCO,293.15,100.0,6
C=CCCCC | CCCCO,298.15,101.0,6
C=CCCCC | CCCO,298.15,101.0,6
NCCCNCCCN | O,303.15,100.0,3
